Date,Frequency, Pin, OSNR,PreFEC BER,PostFEC BER,Ta,Tc,Tj,RMS_XI,RMS_XI,RMS_YI,RMS_YQ,
2020/12/25 12:00:00, 193.1,  -6, 40, 0.800e-03, 0.000e+00, -, -, 68, 40, 40, 40, 40,
2020/12/25 12:00:10, 193.1,  -6, 35, 2.000e-03, 0.000e+00, -, -, 68, 40, 40, 40, 40,
2020/12/25 12:00:20, 193.1,  -6, 30, 5.000e-03, 0.000e+00, -, -, 68, 40, 40, 40, 40,
2020/12/25 12:00:30, 193.1,  -6, 25, 1.000e-02, 0.000e+00, -, -, 68, 40, 40, 40, 40,
2020/12/25 12:00:40, 193.1,  -6, 22, 1.500e-02, 1.000e-09, -, -, 68, 40, 40, 40, 40,
2020/12/25 12:00:50, 193.1,  -6, 20, 2.000e-02,        NG, -, -, 68, 40, 40, 40, 40,

2020/12/25 12:00:00, 193.1, -12, 40, 1.000e-03, 0.000e+00, -, -, 68, 40, 40, 40, 40,
2020/12/25 12:00:10, 193.1, -12, 35, 2.300e-03, 0.000e+00, -, -, 68, 40, 40, 40, 40,
2020/12/25 12:00:20, 193.1, -12, 30, 5.800e-03, 0.000e+00, -, -, 68, 40, 40, 40, 40,
2020/12/25 12:00:30, 193.1, -12, 25, 1.100e-02, 0.000e+00, -, -, 68, 40, 40, 40, 40,
2020/12/25 12:00:40, 193.1, -12, 22, 1.600e-02, 1.000e-09, -, -, 68, 40, 40, 40, 40,
2020/12/25 12:00:50, 193.1, -12, 20, 2.200e-02,        NG, -, -, 68, 40, 40, 40, 40,

2020/12/25 12:00:00, 193.1, -18, 40, 2.000e-03, 0.000e+00, -, -, 68, 40, 40, 40, 40,
2020/12/25 12:00:10, 193.1, -18, 35, 4.000e-03, 0.000e+00, -, -, 68, 40, 40, 40, 40,
2020/12/25 12:00:20, 193.1, -18, 30, 7.000e-03, 0.000e+00, -, -, 68, 40, 40, 40, 40,
2020/12/25 12:00:30, 193.1, -18, 25, 1.300e-02, 0.000e+00, -, -, 68, 40, 40, 40, 40,
2020/12/25 12:00:40, 193.1, -18, 22, 1.900e-02, 1.000e-09, -, -, 68, 40, 40, 40, 40,
2020/12/25 12:00:50, 193.1, -18, 20, 2.500e-02,        NG, -, -, 68, 40, 40, 40, 40,


2020/12/25 12:00:00, 191.8,  -6, 40, 1.000e-03, 0.000e+00, -, -, 68, 40, 40, 40, 40,
2020/12/25 12:00:10, 191.8,  -6, 35, 2.000e-03, 0.000e+00, -, -, 68, 40, 40, 40, 40,
2020/12/25 12:00:20, 191.8,  -6, 30, 5.000e-03, 0.000e+00, -, -, 68, 40, 40, 40, 40,
2020/12/25 12:00:30, 191.8,  -6, 25, 1.000e-02, 0.000e+00, -, -, 68, 40, 40, 40, 40,
2020/12/25 12:00:40, 191.8,  -6, 22, 1.500e-02, 1.000e-09, -, -, 68, 40, 40, 40, 40,
2020/12/25 12:00:50, 191.8,  -6, 20, 2.000e-02,        NG, -, -, 68, 40, 40, 40, 40,

2020/12/25 12:00:00, 191.8, -12, 40, 1.000e-03, 0.000e+00, -, -, 68, 40, 40, 40, 40,
2020/12/25 12:00:10, 191.8, -12, 35, 2.000e-03, 0.000e+00, -, -, 68, 40, 40, 40, 40,
2020/12/25 12:00:20, 191.8, -12, 30, 5.000e-03, 0.000e+00, -, -, 68, 40, 40, 40, 40,
2020/12/25 12:00:30, 191.8, -12, 25, 1.000e-02, 0.000e+00, -, -, 68, 40, 40, 40, 40,
2020/12/25 12:00:40, 191.8, -12, 22, 1.500e-02, 1.000e-09, -, -, 68, 40, 40, 40, 40,
2020/12/25 12:00:50, 191.8, -12, 20, 2.000e-02,        NG, -, -, 68, 40, 40, 40, 40,

2020/12/25 12:00:00, 191.8, -18, 40, 1.000e-03, 0.000e+00, -, -, 68, 40, 40, 40, 40,
2020/12/25 12:00:10, 191.8, -18, 35, 2.000e-03, 0.000e+00, -, -, 68, 40, 40, 40, 40,
2020/12/25 12:00:20, 191.8, -18, 30, 5.000e-03, 0.000e+00, -, -, 68, 40, 40, 40, 40,
2020/12/25 12:00:30, 191.8, -18, 25, 1.000e-02, 0.000e+00, -, -, 68, 40, 40, 40, 40,
2020/12/25 12:00:40, 191.8, -18, 22, 1.500e-02, 1.000e-09, -, -, 68, 40, 40, 40, 40,
2020/12/25 12:00:50, 191.8, -18, 20, 2.000e-02,        NG, -, -, 68, 40, 40, 40, 40,

